...connected

...connected

COUNT: 9
response time(us) [1337521,1386328) count: 3
response time(us) [1386328,1435135) count: 5
response time(us) [1435135,1483942) count: 0
response time(us) [1483942,1532749) count: 0
response time(us) [1532749,1581556) count: 0
response time(us) [1581556,1630363) count: 0
response time(us) [1630363,1679170) count: 0
response time(us) [1679170,1727977) count: 0
response time(us) [1727977,1776784) count: 0
response time(us) [1776784,1825591) count: 0
response time(us) [1825591,1874398) count: 0
response time(us) [1874398,1923205) count: 0
response time(us) [1923205,1972012) count: 0
response time(us) [1972012,2020819) count: 0
response time(us) [2020819,2069626) count: 0
response time(us) [2069626,2118433) count: 0
response time(us) [2118433,2167240) count: 0
response time(us) [2167240,2216047) count: 0
response time(us) [2216047,2264854) count: 0
response time(us) [2264854,2313661) count: 1
...connected

COUNT: 99
response time(us) [162606,204850) count: 7
response time(us) [204850,247094) count: 25
response time(us) [247094,289338) count: 29
response time(us) [289338,331582) count: 7
response time(us) [331582,373826) count: 8
response time(us) [373826,416070) count: 5
response time(us) [416070,458314) count: 12
response time(us) [458314,500558) count: 0
response time(us) [500558,542802) count: 0
response time(us) [542802,585046) count: 0
response time(us) [585046,627290) count: 0
response time(us) [627290,669534) count: 0
response time(us) [669534,711778) count: 0
response time(us) [711778,754022) count: 0
response time(us) [754022,796266) count: 0
response time(us) [796266,838510) count: 0
response time(us) [838510,880754) count: 0
response time(us) [880754,922998) count: 0
response time(us) [922998,965242) count: 2
response time(us) [965242,1007486) count: 4
...connected

COUNT: 999
response time(us) [106115,909573) count: 173
response time(us) [909573,1713031) count: 0
response time(us) [1713031,2516489) count: 86
response time(us) [2516489,3319947) count: 113
response time(us) [3319947,4123405) count: 25
response time(us) [4123405,4926863) count: 0
response time(us) [4926863,5730321) count: 0
response time(us) [5730321,6533779) count: 0
response time(us) [6533779,7337237) count: 0
response time(us) [7337237,8140695) count: 0
response time(us) [8140695,8944153) count: 0
response time(us) [8944153,9747611) count: 0
response time(us) [9747611,10551069) count: 0
response time(us) [10551069,11354527) count: 0
response time(us) [11354527,12157985) count: 26
response time(us) [12157985,12961443) count: 13
response time(us) [12961443,13764901) count: 0
response time(us) [13764901,14568359) count: 0
response time(us) [14568359,15371817) count: 307
response time(us) [15371817,16175275) count: 256
...connected

COUNT: 9999
response time(us) [65236,1283652) count: 2202
response time(us) [1283652,2502068) count: 123
response time(us) [2502068,3720484) count: 257
response time(us) [3720484,4938900) count: 27
response time(us) [4938900,6157316) count: 1
response time(us) [6157316,7375732) count: 156
response time(us) [7375732,8594148) count: 115
response time(us) [8594148,9812564) count: 411
response time(us) [9812564,11030980) count: 13
response time(us) [11030980,12249396) count: 0
response time(us) [12249396,13467812) count: 168
response time(us) [13467812,14686228) count: 1029
response time(us) [14686228,15904644) count: 385
response time(us) [15904644,17123060) count: 1295
response time(us) [17123060,18341476) count: 802
response time(us) [18341476,19559892) count: 604
response time(us) [19559892,20778308) count: 795
response time(us) [20778308,21996724) count: 416
response time(us) [21996724,23215140) count: 589
response time(us) [23215140,24433556) count: 611
COUNT: 99999
response time(us) [59556,13271712) count: 8120
response time(us) [13271712,26483868) count: 3061
response time(us) [26483868,39696024) count: 2699
response time(us) [39696024,52908180) count: 1521
response time(us) [52908180,66120336) count: 2842
response time(us) [66120336,79332492) count: 5382
response time(us) [79332492,92544648) count: 5182
response time(us) [92544648,105756804) count: 3551
response time(us) [105756804,118968960) count: 2920
response time(us) [118968960,132181116) count: 1429
response time(us) [132181116,145393272) count: 5620
response time(us) [145393272,158605428) count: 4858
response time(us) [158605428,171817584) count: 8130
response time(us) [171817584,185029740) count: 13206
response time(us) [185029740,198241896) count: 7492
response time(us) [198241896,211454052) count: 5147
response time(us) [211454052,224666208) count: 6797
response time(us) [224666208,237878364) count: 2432
response time(us) [237878364,251090520) count: 5125
response time(us) [251090520,264302676) count: 4485
